source	data	state_id	drug_group	first_use	repeat_use
marketscan	children	stateBFU	beta_lactam	0.128185	0.054859
marketscan	children	stateBFU	cephalosporin	0.043173	0.011152
marketscan	children	stateBFU	macrolide	0.088406	0.025293
marketscan	children	stateBFU	nitrofurantoin	0.001202	6.93e-4
marketscan	children	stateBFU	overall	0.222813	0.202585
marketscan	children	stateBFU	quinolone	0.013044	0.00255
marketscan	children	stateBFU	tetracycline	0.009992	0.022081
marketscan	children	stateBFU	tmpsmx	0.017263	0.007504
marketscan	children	stateCCZ	beta_lactam	0.275921	0.17325
marketscan	children	stateCCZ	cephalosporin	0.164799	0.087618
marketscan	children	stateCCZ	macrolide	0.166592	0.078857
marketscan	children	stateCCZ	nitrofurantoin	0.002346	0.001807
marketscan	children	stateCCZ	overall	0.440129	0.653268
marketscan	children	stateCCZ	quinolone	0.030906	0.00383
marketscan	children	stateCCZ	tetracycline	0.017917	0.033142
marketscan	children	stateCCZ	tmpsmx	0.041933	0.01448
marketscan	children	stateCUX	beta_lactam	0.22277	0.118832
marketscan	children	stateCUX	cephalosporin	0.091947	0.034876
marketscan	children	stateCUX	macrolide	0.124685	0.048563
marketscan	children	stateCUX	nitrofurantoin	0.001641	0.001422
marketscan	children	stateCUX	overall	0.354836	0.393835
marketscan	children	stateCUX	quinolone	0.027752	0.003673
marketscan	children	stateCUX	tetracycline	0.01273	0.025826000000000002
marketscan	children	stateCUX	tmpsmx	0.02169	0.012264
marketscan	children	stateCWD	beta_lactam	0.210408	0.103879
marketscan	children	stateCWD	cephalosporin	0.12174	0.050611
marketscan	children	stateCWD	macrolide	0.131937	0.051205
marketscan	children	stateCWD	nitrofurantoin	0.001404	0.001455
marketscan	children	stateCWD	overall	0.367375	0.438527
marketscan	children	stateCWD	quinolone	0.034951	0.00957
marketscan	children	stateCWD	tetracycline	0.015625	0.033048
marketscan	children	stateCWD	tmpsmx	0.026552	0.013519
marketscan	children	stateCYL	beta_lactam	0.257756	0.146297
marketscan	children	stateCYL	cephalosporin	0.160696	0.079496
marketscan	children	stateCYL	macrolide	0.163892	0.071263
marketscan	children	stateCYL	nitrofurantoin	0.002143	0.001563
marketscan	children	stateCYL	overall	0.439014	0.583692
marketscan	children	stateCYL	quinolone	0.033689	0.005138
marketscan	children	stateCYL	tetracycline	0.017699	0.027466
marketscan	children	stateCYL	tmpsmx	0.041453	0.014154
marketscan	children	stateELN	beta_lactam	0.10931	0.048959
marketscan	children	stateELN	cephalosporin	0.045459	0.01081
marketscan	children	stateELN	macrolide	0.064135	0.023382
marketscan	children	stateELN	nitrofurantoin	0.002531	0.001926
marketscan	children	stateELN	overall	0.187387	0.16199
marketscan	children	stateELN	quinolone	0.019269	7.41e-4
marketscan	children	stateELN	tetracycline	0.005553	0.003942
marketscan	children	stateELN	tmpsmx	0.012402	9.57e-4
marketscan	children	stateEPB	beta_lactam	0.25388	0.132317
marketscan	children	stateEPB	cephalosporin	0.150098	0.068498
marketscan	children	stateEPB	macrolide	0.153846	0.056294
marketscan	children	stateEPB	nitrofurantoin	0.001866	0.001257
marketscan	children	stateEPB	overall	0.428574	0.522772
marketscan	children	stateEPB	quinolone	0.038184	0.005076
marketscan	children	stateEPB	tetracycline	0.015225	0.025053
marketscan	children	stateEPB	tmpsmx	0.038657	0.011094
