pathogen	drug_group	state_id	proportion_nonsusceptible
A. baumannii	beta_lactam	stateCCZ	0.541734
A. baumannii	beta_lactam	stateCUX	0.215
A. baumannii	beta_lactam	stateCYL	0.846579
A. baumannii	beta_lactam	stateEPB	0.476765
A. baumannii	beta_lactam	stateERZ	0.2035
A. baumannii	beta_lactam	stateGKW	0.11145
A. baumannii	beta_lactam	stateIJE	0.238039
A. baumannii	beta_lactam	stateIWK	0.541028
A. baumannii	beta_lactam	stateJBF	0.04
A. baumannii	beta_lactam	stateKFE	0.376103
A. baumannii	beta_lactam	stateLJC	0.335321
A. baumannii	beta_lactam	stateLWR	0.238372
A. baumannii	beta_lactam	stateMMO	0.48587
A. baumannii	beta_lactam	stateNWF	0.182927
A. baumannii	beta_lactam	stateOUP	0.27453
A. baumannii	beta_lactam	statePIO	0.062
A. baumannii	beta_lactam	statePJJ	0.776699
A. baumannii	beta_lactam	stateRHV	0.4678
A. baumannii	beta_lactam	stateSHP	0.165451
A. baumannii	beta_lactam	stateSLZ	0.453091
A. baumannii	beta_lactam	stateSNB	0.172364
A. baumannii	beta_lactam	stateSTP	0.14
A. baumannii	beta_lactam	stateTMR	0.250964
A. baumannii	beta_lactam	stateTOE	0.22
A. baumannii	beta_lactam	stateUEQ	0.135
A. baumannii	beta_lactam	stateUMX	0.360841
A. baumannii	beta_lactam	stateVIE	0.149268
A. baumannii	beta_lactam	stateVUS	0.02
A. baumannii	beta_lactam	stateWPV	0.436512
A. baumannii	beta_lactam	stateXYX	0.603389
A. baumannii	beta_lactam	stateYJD	0.495
A. baumannii	beta_lactam	stateYUW	0.19
A. baumannii	beta_lactam	stateYVE	0.420143
A. baumannii	beta_lactam	stateZWS	0.488344
A. baumannii	cephalosporin	stateCCZ	0.589445
A. baumannii	cephalosporin	stateCUX	0.2
A. baumannii	cephalosporin	stateCYL	0.563316
A. baumannii	cephalosporin	stateELN	0.214416
A. baumannii	cephalosporin	stateEPB	0.614355
A. baumannii	cephalosporin	stateERZ	0.498125
A. baumannii	cephalosporin	stateGKW	0.413317
A. baumannii	cephalosporin	stateIJE	0.44355
A. baumannii	cephalosporin	stateIWK	0.678364
A. baumannii	cephalosporin	stateJBF	0.272903
A. baumannii	cephalosporin	stateKFE	0.369488
A. baumannii	cephalosporin	stateLJC	0.546022
A. baumannii	cephalosporin	stateLMH	0.175
A. baumannii	cephalosporin	stateLWR	0.604031
A. baumannii	cephalosporin	stateMMO	0.634336
A. baumannii	cephalosporin	stateNWF	0.524939
A. baumannii	cephalosporin	stateOUP	0.421768
A. baumannii	cephalosporin	statePIO	0.032
A. baumannii	cephalosporin	statePJJ	0.683429
A. baumannii	cephalosporin	stateQES	0.99
A. baumannii	cephalosporin	stateRHV	0.537633
A. baumannii	cephalosporin	stateSHP	0.398733
A. baumannii	cephalosporin	stateSLZ	0.535581
